architecture,hidden_channels,learning_rate,num_layers,train_loss,val_loss,test_rmse
GCN,64,0.0001,4,8.003,8.3439,2.9319
SAGE,64,0.0001,2,8.0228,8.3588,2.9203
SAGE,64,0.0001,3,7.3533,7.6712,2.8051
SAGE,64,0.0001,4,7.0236,7.4332,2.7361
GAT,64,0.0001,2,8.0266,8.3524,2.9168
GAT,64,0.0001,3,7.9743,8.3132,2.9164
GAT,64,0.0001,4,7.9871,8.3157,2.9231
GCN,64,0.001,2,7.8387,8.1412,2.8837
GCN,64,0.001,3,7.6121,7.9786,2.8617
GCN,64,0.001,4,7.5351,7.9975,2.868
SAGE,64,0.001,2,6.7518,7.2321,2.6833
SAGE,64,0.001,3,6.3397,6.9835,2.6355
SAGE,64,0.001,4,5.9481,6.5387,2.5896
GAT,64,0.001,2,7.9395,8.306,2.8988
GAT,64,0.001,3,7.7582,8.1088,2.8768
GAT,64,0.001,4,7.7641,8.1958,2.8784
GCN,64,0.01,2,7.6825,8.1156,2.8709
GCN,64,0.01,3,7.5607,7.9824,2.8809
GCN,64,0.01,4,7.5661,7.8685,2.8662
SAGE,64,0.01,2,6.6335,7.4165,2.7197
SAGE,64,0.01,3,6.0318,6.5767,2.5908
SAGE,64,0.01,4,5.8113,6.6544,2.5669
GAT,64,0.01,2,7.9525,8.2066,2.8994
GAT,64,0.01,3,8.1556,8.5264,2.9767
GAT,64,0.01,4,8.1237,8.4527,2.9565
GCN,64,0.1,2,8.068,8.332,2.9238
GCN,64,0.1,3,8.3723,8.6778,2.994
GCN,64,0.1,4,8.3776,8.667,2.9949
SAGE,64,0.1,2,7.2614,7.5589,2.8332
SAGE,64,0.1,3,8.3888,8.7064,3.0115
SAGE,64,0.1,4,8.3834,8.6881,2.9942
GAT,64,0.1,2,8.0718,8.4709,2.9378
GAT,64,0.1,3,8.3725,8.6974,2.9946
GAT,64,0.1,4,8.3841,8.6836,2.9941
